congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
113,House,20316,43,25,FL,200,0,1,"DIAZ-BALART, Mario",D000600,1961,,0.278,0.082,-131.10895,0.87259,962,47,1.0
113,House,20504,43,23,FL,100,0,1,"WASSERMAN SCHULTZ, Debbie",W000797,1966,,-0.432,0.095,-154.00795,0.85121,956,62,1.0
113,House,20708,43,14,FL,100,0,1,"CASTOR, Kathy",C001066,1966,,-0.433,0.031,-116.55558,0.88678,970,57,1.0
113,House,20709,43,16,FL,200,0,1,"BUCHANAN, Vernon G.",B001260,1951,,0.359,-0.16,-141.7526,0.86647,989,58,1.0
113,House,20758,43,12,FL,200,0,1,"BILIRAKIS, Gus",B001257,1963,,0.397,0.027,-131.78259,0.87699,1004,57,1.0
113,House,20908,43,9,FL,100,0,1,"GRAYSON, Alan",G000556,1958,,-0.363,-0.457,-182.32256,0.832,994,62,
113,House,20909,43,8,FL,200,0,1,"POSEY, Bill",P000599,1947,,0.509,-0.32,-242.11245,0.78797,1016,103,1.0
113,House,20910,43,17,FL,200,0,1,"ROONEY, Thomas J.",R000583,1970,,0.469,0.007,-211.00755,0.81129,1009,91,1.0
113,House,20959,43,21,FL,100,0,1,"DEUTCH, Theodore E. (Ted)",D000610,1966,,-0.418,-0.064,-113.70208,0.89222,997,42,1.0
113,House,21114,43,2,FL,200,0,1,"SOUTHERLAND, Steve",S001186,1965,,0.56,0.063,-117.2386,0.89,1009,53,
113,House,21115,43,11,FL,200,0,1,"NUGENT, Richard",N000185,1951,,0.483,0.077,-151.64545,0.86,1002,76,
113,House,21116,43,10,FL,200,0,1,"WEBSTER, Daniel A.",W000806,1949,,0.467,0.015,-133.35503,0.87338,985,55,1.0
113,House,21117,43,15,FL,200,0,1,"ROSS, Dennis",R000593,1959,,0.536,0.076,-122.57258,0.88593,1012,43,1.0
113,House,21118,43,24,FL,100,0,1,"WILSON, Frederica",W000808,1942,,-0.476,-0.008,-98.97893,0.90576,1000,32,1.0
113,House,21317,43,3,FL,200,0,1,"YOHO, Ted",Y000065,1955,,0.695,-0.451,-186.24249,0.83206,1013,86,1.0
113,House,21318,43,6,FL,200,0,1,"DeSANTIS, Ron",D000621,1978,,0.659,-0.119,-124.04346,0.88539,1019,68,1.0
113,House,21319,43,18,FL,100,0,1,"MURPHY, Patrick",M001191,1983,,-0.186,-0.026,-305.4494,0.739,1010,148,
113,House,21320,43,19,FL,200,1,1,"RADEL, Trey",R000596,1976,,0.702,-0.25,-95.41688,0.827,502,60,
113,House,21321,43,22,FL,100,0,1,"FRANKEL, Lois",F000462,1948,,-0.422,-0.049,-116.05217,0.89022,998,52,1.0
113,House,21322,43,26,FL,100,0,1,"GARCIA, Joe",G000573,1963,,-0.204,0.032,-245.92149,0.779,984,122,
113,House,21377,43,19,FL,200,2,2,"CLAWSON, Curt",C001102,1959,,0.626,-0.509,-23.63826,0.872,172,12,
113,House,21401,43,13,FL,200,2,2,"JOLLY, David W.",J000296,1972,,0.23,0.058,-68.48647,0.836,382,26,
113,House,29328,43,5,FL,100,0,1,"BROWN, Corrine",B000911,1946,,-0.429,0.192,-121.67387,0.883,974,45,
113,House,29331,43,7,FL,200,0,1,"MICA, John L.",M000689,1943,,0.453,0.137,-138.16368,0.873,1020,54,
113,House,29337,43,20,FL,100,0,1,"HASTINGS, Alcee Lamar",H000324,1936,,-0.564,0.143,-146.91524,0.85196,917,55,1.0
113,House,15431,44,5,GA,100,0,1,"LEWIS, John R.",L000287,1940,,-0.588,-0.234,-100.92093,0.89314,893,52,1.0
113,House,20319,44,11,GA,200,0,1,"GINGREY, Phil",G000550,1942,,0.561,0.272,-130.27149,0.87,932,50,
113,House,20321,44,13,GA,100,0,1,"SCOTT, David",S001157,1945,,-0.304,0.181,-216.24521,0.80235,982,88,1.0
113,House,20505,44,6,GA,200,0,1,"PRICE, Tom",P000591,1954,,0.644,-0.073,-124.18757,0.88441,1011,62,1.0
113,House,20506,44,3,GA,200,0,1,"WESTMORELAND, Lynn A.",W000796,1950,,0.672,0.189,-154.39228,0.852,966,66,
113,House,20507,44,12,GA,100,0,1,"BARROW, John",B001252,1955,,-0.119,0.46,-392.97464,0.68,1020,154,
113,House,20712,44,4,GA,100,0,1,"JOHNSON, Hank",J000288,1954,,-0.474,0.069,-145.45206,0.85995,964,60,1.0
113,House,20753,44,10,GA,200,0,1,"BROUN, Paul C., Jr.",B001262,1946,,0.913,-0.408,-326.47545,0.721,998,135,
113,House,20962,44,14,GA,200,0,1,"GRAVES, Tom",G000560,1970,,0.756,-0.086,-131.9528,0.87741,1009,77,1.0
113,House,21122,44,7,GA,200,0,1,"WOODALL, Rob",W000810,1970,,0.655,-0.289,-175.17595,0.84019,1006,93,1.0
113,House,21123,44,8,GA,200,0,1,"SCOTT, Austin",S001189,1969,,0.591,0.198,-107.4208,0.8991,1010,37,1.0
113,House,21323,44,9,GA,200,0,1,"COLLINS, Doug",C001093,1966,,0.654,0.032,-124.88836,0.87989,976,64,1.0
113,House,29338,44,1,GA,200,0,1,"KINGSTON, Jack",K000220,1955,,0.54,0.302,-130.70729,0.864,897,49,
113,House,29339,44,2,GA,100,0,1,"BISHOP, Sanford Dixon, Jr.",B000490,1947,,-0.279,0.476,-267.83312,0.75807,967,129,1.0
113,House,21124,82,1,HI,100,0,1,"HANABUSA, Colleen",H001050,1951,,-0.381,0.008,-115.29229,0.87989,901,46,1.0
113,House,21324,82,2,HI,100,0,1,"GABBARD, Tulsi",G000571,1981,,-0.28,-0.164,-212.23002,0.80599,984,82,1.0
113,House,21125,63,1,ID,200,0,1,"LABRADOR, Raúl R.",L000573,1967,,0.724,-0.57,-206.66313,0.81057,984,91,1.0
113,House,29910,63,2,ID,200,0,1,"SIMPSON, Michael K.",S001148,1950,,0.294,0.273,-94.17237,0.91013,1000,30,1.0
113,House,20508,21,3,IL,100,0,1,"LIPINSKI, Daniel",L000563,1966,,-0.235,0.198,-284.56261,0.7517,997,130,1.0
113,House,20715,21,6,IL,200,0,1,"ROSKAM, Peter",R000580,1961,,0.44,0.031,-112.82359,0.89421,1009,49,1.0
113,House,20749,21,11,IL,100,0,1,"FOSTER, Bill",F000454,1955,,-0.221,-0.22,-213.08288,0.81013,1012,95,1.0
113,House,20914,21,18,IL,200,0,1,"SCHOCK, Aaron",S001179,1981,,0.311,0.185,-120.10981,0.885,979,53,
113,House,20954,21,5,IL,100,0,1,"QUIGLEY, Mike",Q000023,1958,,-0.318,-0.308,-112.92924,0.89291,997,34,1.0
113,House,21128,21,16,IL,200,0,1,"KINZINGER, Adam",K000378,1978,,0.272,0.292,-144.38697,0.86716,1013,70,1.0
113,House,21129,21,14,IL,200,0,1,"HULTGREN, Randy",H001059,1966,,0.498,-0.034,-115.20244,0.8926,1014,45,1.0
113,House,21325,21,8,IL,100,0,1,"DUCKWORTH, Tammy",D000622,1968,,-0.297,0.054,-216.99625,0.79862,965,91,1.0
113,House,21326,21,10,IL,100,0,1,"SCHNEIDER, Brad",S001190,1961,,-0.184,-0.236,-179.83243,0.83526,999,68,1.0
113,House,21327,21,12,IL,100,0,1,"ENYART, Bill",E000292,1949,,-0.251,0.159,-242.42401,0.784,997,93,
113,House,21328,21,13,IL,200,0,1,"DAVIS, Rodney",D000619,1970,,0.301,0.075,-205.56363,0.81402,999,98,1.0
113,House,21329,21,17,IL,100,0,1,"BUSTOS, Cheri",B001286,1961,,-0.238,0.057,-209.59506,0.81091,1000,95,1.0
113,House,21371,21,2,IL,100,1,2,"KELLY, Robin L.",K000385,1956,,-0.446,-0.023,-98.6149,0.8996,932,41,1.0
113,House,29346,21,1,IL,100,0,1,"RUSH, Bobby L.",R000515,1946,,-0.479,-0.212,-107.52815,0.84171,624,53,1.0
113,House,29348,21,4,IL,100,0,1,"GUTIÉRREZ, Luis V.",G000535,1953,,-0.483,-0.266,-111.50218,0.88074,878,44,1.0
113,House,29717,21,7,IL,100,0,1,"DAVIS, Danny K.",D000096,1941,,-0.488,-0.249,-121.07246,0.88163,961,38,1.0
113,House,29718,21,15,IL,200,0,1,"SHIMKUS, John M.",S000364,1958,,0.374,0.132,-143.51239,0.86195,966,53,1.0
113,House,29911,21,9,IL,100,0,1,"SCHAKOWSKY, Janice D.",S001145,1944,,-0.603,-0.273,-90.67773,0.91372,1005,52,1.0
113,House,15124,22,1,IN,100,0,1,"VISCLOSKY, Peter",V000108,1949,,-0.402,0.252,-197.4077,0.81971,993,93,1.0
113,House,20757,22,7,IN,100,0,1,"CARSON, André",C001072,1974,,-0.431,0.07,-178.72217,0.83738,1007,71,1.0
113,House,21100,22,3,IN,200,0,1,"STUTZMAN, Marlin",S001188,1976,,0.742,-0.119,-126.05499,0.881,996,49,
113,House,21131,22,4,IN,200,0,1,"ROKITA, Todd",R000592,1970,,0.591,-0.164,-98.62074,0.9037,974,34,1.0
113,House,21132,22,8,IN,200,0,1,"BUCSHON, Larry",B001275,1962,,0.397,0.249,-109.44684,0.89759,1013,54,1.0
113,House,21133,22,9,IN,200,0,1,"YOUNG, Todd",Y000064,1972,,0.489,0.058,-117.93455,0.89,1012,53,1.0
113,House,21330,22,2,IN,200,0,1,"WALORSKI, Jackie",W000813,1963,,0.43,0.375,-111.13637,0.89658,1018,47,1.0
113,House,21331,22,5,IN,200,0,1,"BROOKS, Susan",B001284,1960,,0.378,0.317,-95.33348,0.91044,1016,43,1.0
113,House,21332,22,6,IN,200,0,1,"MESSER, Luke",M001189,1969,,0.559,-0.085,-105.21056,0.9007,1006,35,1.0
113,House,20325,31,4,IA,200,0,1,"KING, Steve",K000362,1949,,0.619,0.296,-145.2929,0.86337,989,52,1.0
113,House,20719,31,1,IA,100,0,1,"BRALEY, Bruce",B001259,1957,,-0.31,-0.205,-216.15749,0.806,1001,101,
113,House,20720,31,2,IA,100,0,1,"LOEBSACK, Dave",L000565,1952,,-0.279,-0.056,-215.37985,0.80847,1013,92,1.0
113,House,29522,31,3,IA,200,0,1,"LATHAM, Thomas",L000111,1948,,0.302,0.308,-137.71153,0.873,1012,60,
113,House,20915,32,2,KS,200,0,1,"JENKINS, Lynn",J000290,1963,,0.526,-0.025,-153.05635,0.86053,1019,77,1.0
113,House,21134,32,1,KS,200,0,1,"HUELSKAMP, Tim",H001057,1968,,0.744,-0.466,-200.51034,0.819,1004,88,
113,House,21135,32,3,KS,200,0,1,"YODER, Kevin",Y000063,1976,,0.568,0.002,-139.74638,0.87126,1014,69,1.0
113,House,21136,32,4,KS,200,0,1,"POMPEO, Mike",P000602,1963,,0.66,0.164,-90.16382,0.90946,950,31,1.0
113,House,14854,51,5,KY,200,0,1,"ROGERS, Harold Dallas (Hal)",R000395,1937,,0.331,0.084,-102.6719,0.90158,991,41,1.0
113,House,20723,51,3,KY,100,0,1,"YARMUTH, John",Y000062,1947,,-0.379,-0.246,-117.00161,0.888,985,43,1.0
113,House,20916,51,2,KY,200,0,1,"GUTHRIE, Brett",G000558,1964,,0.399,0.26,-105.10524,0.90144,1013,44,1.0
113,House,21333,51,6,KY,200,0,1,"BARR, Garland H. (Andy) IV",B001282,1973,,0.472,0.313,-118.3939,0.89,1016,58,1.0
113,House,29525,51,1,KY,200,0,1,"WHITFIELD, Wayne Edward (Ed)",W000413,1943,,0.303,0.182,-143.68819,0.864,983,57,
113,House,31102,51,4,KY,200,0,1,"MASSIE, Thomas",M001184,1971,,0.669,-0.743,-335.35588,0.71934,1018,150,1.0
